127.0.0.1 - - [02/Nov/2023:20:39:33 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [02/Nov/2023:20:39:37 -0300] "GET /arsan/entrada.jsp HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [02/Nov/2023:20:39:37 -0300] "GET /arsan/Estilos/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:20:39:38 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [02/Nov/2023:20:40:32 -0300] "GET /arsan/cadastroProduto.jsp HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [02/Nov/2023:20:41:01 -0300] "GET /arsan/cadastroProduto.jsp HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [02/Nov/2023:20:41:16 -0300] "GET /arsan/cadastroProduto.jsp HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [02/Nov/2023:20:41:24 -0300] "GET /arsan/cadastroProduto.jsp HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [02/Nov/2023:20:42:03 -0300] "GET /arsan/cadastroProduto.jsp HTTP/1.1" 200 1931
0:0:0:0:0:0:0:1 - - [02/Nov/2023:20:43:34 -0300] "GET /arsan/cadastroProduto.jsp HTTP/1.1" 200 1874
0:0:0:0:0:0:0:1 - - [02/Nov/2023:21:14:46 -0300] "GET /arsan/cadastroProduto.jsp HTTP/1.1" 200 1880
0:0:0:0:0:0:0:1 - - [02/Nov/2023:21:14:58 -0300] "POST /arsan/gravarProduto.jsp?editar=no HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:21:14:59 -0300] "GET /arsan/showProduto.jsp HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [02/Nov/2023:21:15:33 -0300] "GET /arsan/showProduto.jsp HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - - [02/Nov/2023:21:16:04 -0300] "GET /arsan/showProduto.jsp HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [02/Nov/2023:21:17:36 -0300] "GET /arsan/showProduto.jsp HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [02/Nov/2023:21:18:51 -0300] "GET /arsan/showProduto.jsp HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [02/Nov/2023:21:29:27 -0300] "GET /arsan/showProduto.jsp HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [02/Nov/2023:21:30:59 -0300] "GET /arsan/showProduto.jsp HTTP/1.1" 500 4161
0:0:0:0:0:0:0:1 - - [02/Nov/2023:21:31:36 -0300] "POST /arsan/gravarProduto.jsp?editar=no HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:21:31:36 -0300] "GET /arsan/showProduto.jsp HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [02/Nov/2023:21:35:40 -0300] "POST /arsan/gravarProduto.jsp?editar=no HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:21:35:40 -0300] "GET /arsan/showProduto.jsp HTTP/1.1" 200 1012
